id,Gender,Birth.Order,Height,Weight
1,M,1,65.44440856,166.1461066
2,F,2,65.44835697,76.74407173
3,M,2,68.39149064,140.1425295
4,M,1,73.92209684,165.3040946
5,F,1,70.98392073,117.6193176
6,F,1,74.07854039,114.3018635
7,M,2,75.01680318,175.1117752
8,F,1,68.32722542,170.7763517
9,F,1,61.23223834,117.7088399
10,M,4,73.35424982,190.275711
11,F,2,62.76931623,130.0024445
12,M,1,73.36892857,166.6229298
13,M,1,65.88787583,156.1586166
14,F,1,65.5151308,131.4192662
15,F,1,76.33113695,129.4953082
16,F,1,63.78427915,130.8229536
17,M,1,64.41212783,158.1558852
18,F,1,58.63417553,100.787262
19,M,2,64.91246236,170.8589695
20,M,3,70.19646648,182.9864607
21,F,1,67.00134218,133.9070522
22,F,2,66.20223137,141.8511782
23,F,1,65.53402819,103.6028431
24,M,2,69.94899882,188.8426285
25,M,3,70.16396491,157.2211181
26,M,1,68.70817824,178.2035433
27,M,2,65.67271492,156.133839
28,F,2,70.09700329,109.6442366
29,M,1,64.42030894,137.5736054
30,F,1,67.20072039,122.8778367
31,F,1,60.44507749,172.1162231
32,M,2,70.30223638,177.8152082
33,F,1,69.86750964,102.4561806
34,F,1,57.64913705,145.825367
35,F,2,68.89171423,71.19439431
36,M,1,77.9945881,186.3072413
37,F,1,63.70713578,112.5560115
38,M,1,73.75995663,177.8939074
39,F,2,72.70275447,99.78380291
40,F,2,65.72863804,132.8845885
41,F,3,60.96512069,107.6814929
42,F,1,61.36765906,115.9021589
43,F,1,65.401193,141.0354054
44,M,1,71.59946467,185.6356346
45,F,2,63.65069607,127.3763761
46,F,1,66.17601785,135.0950737
47,M,2,70.49403514,166.560636
48,F,2,60.9028577,109.9425251
49,M,1,70.37987481,171.1974506
50,M,2,71.00028972,186.0726976
51,M,1,63.54946572,185.691982
52,M,1,69.18780743,194.626336
53,F,3,65.71105901,125.3694748
54,F,1,63.14591115,129.0183815
55,F,2,62.77162963,101.9038845
56,F,3,62.31942604,133.7310362
57,M,1,66.77345941,174.2367985
58,M,1,75.03654318,188.6042546
59,F,3,67.05424694,171.8211959
60,M,1,72.26109551,158.3762402
61,F,1,62.76661145,106.7920948
62,M,1,68.25661278,180.4053268
